DATE,PRCP
2020-03-29,0.62
2020-03-30,0
2020-03-31,0
2020-04-01,0.02
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0.03
2020-04-06,0
2020-04-07,0.02
2020-04-08,0.9
2020-04-09,0.09
2020-04-10,0.04
2020-04-11,0
2020-04-12,0.05
2020-03-29,0.64
2020-03-30,0.01
2020-03-31,0
2020-04-01,0.01
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0.04
2020-04-06,0
2020-04-07,0.04
2020-04-08,0.95
2020-04-09,0.1
2020-04-10,0.01
2020-04-11,0
2020-03-29,0.5
2020-03-30,0.01
2020-03-31,0
2020-04-01,0.02
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0.06
2020-04-06,0
2020-04-07,0.05
2020-04-08,1.03
2020-04-09,0.09
2020-04-10,0.08
2020-04-11,0
2020-04-12,0.06